symbol,SL32271,SL5882,SL6338,SL6407,SL6409,SL6663,SL6670,SL7380,SL7622,SL7854
ACLY,2895,1790,5024,1365,7782,2983,4676,7363,5133,1481
ACMSD,12,6,15,39,23,17,24,15,22,49
ACNATP,0,0,2,3,5,0,2,4,3,3
ACO1,867,543,1502,1043,2056,1147,2150,3897,1802,1190
ACO2,6571,3450,10045,3481,12976,9220,9798,14726,8786,3366
ACOD1,0,0,3,4,3,0,0,1,0,3
ACOT1,49,17,106,59,119,62,90,206,35,102
ACOT11,744,377,935,729,1223,592,1096,871,953,1345
ACOT12,5,0,15,10,10,0,4,9,12,8
ACOT13,212,114,374,259,618,433,512,912,459,397
ACOT2,191,92,284,201,404,248,337,581,274,267
ACOT4,124,83,173,146,182,169,262,266,265,232
ACOT6,24,26,27,79,49,28,60,53,42,87
ACOT7,2451,1386,4379,1168,6159,5248,5860,6913,4410,924
ACOT8,604,310,1145,530,1531,1231,1487,1617,897,519
ACOT9,285,184,612,474,712,466,596,968,567,430
ACOX1,1190,636,2290,1782,3702,1710,2504,4373,2490,1556
ACOX2,120,123,285,200,308,174,327,377,216,217
ACOX3,321,108,360,240,546,281,448,679,431,304
ACOXL,6,3,23,13,11,5,7,8,6,4
ACOXL-AS1,1,5,17,7,13,9,6,7,8,8
ACP1,880,525,1635,484,2626,1846,2500,3152,1678,739
ACP2,831,539,1720,515,2879,1843,1963,3185,1653,762
ACP3,5,6,12,25,21,8,124,156,9,10
ACP4,23,7,26,17,35,28,33,20,27,16
ACP5,64,27,82,59,79,52,77,57,58,134
ACP6,217,84,421,240,392,351,375,616,544,413
ACP7,107,37,110,246,106,203,218,144,182,129
ACR,60,40,63,26,51,51,83,41,50,16
ACRBP,19,11,38,51,33,37,54,38,35,36
ACRP1,0,0,2,3,0,0,1,0,0,0
ACRV1,48,25,56,25,131,90,142,113,67,28
ACSBG1,2243,1555,3980,2728,4087,1955,4892,4417,3010,2581
ACSBG2,17,5,32,38,38,14,36,25,27,30
ACSF2,392,356,735,337,988,551,860,965,647,417
ACSF3,763,432,970,520,1107,881,1150,1434,900,610
ACSL1,762,504,1485,849,3078,1481,1703,3385,2073,1267
ACSL3,1655,1261,4472,3306,8722,4216,6218,10313,4532,3302
ACSL4,700,469,1812,714,3557,1750,2135,5017,2575,873
ACSL5,538,117,181,1141,328,172,324,380,289,423
ACSL6,1791,1114,3344,1563,6124,2853,4795,6888,3585,2407
ACSL6-AS1,14,7,35,7,31,22,50,42,20,28
ACSM1,3,1,13,18,9,3,10,4,4,4
ACSM2A,1,0,6,19,9,0,0,1,0,2
ACSM2B,1,0,10,15,12,0,2,1,0,0
ACSM3,7,4,18,19,27,4,13,9,20,17
ACSM4,3,2,8,15,9,4,5,3,1,4
ACSM5,35,37,128,52,172,119,114,215,169,168
ACSM6,7,3,11,14,19,10,9,8,10,27
ACSS1,2668,2373,4588,2127,4246,3622,6822,6344,3994,3474
ACSS2,764,565,1635,859,1950,1366,2265,2058,1393,946
ACSS3,281,137,410,499,580,223,454,606,386,471
ACTA1,43,13,39,48,30,33,42,70,49,16
ACTA2,388,257,521,265,601,335,896,1000,554,912
ACTA2-AS1,23,20,36,4,56,35,35,103,83,19
ACTB,42190,18190,69242,40349,119607,65496,81500,89837,64331,25871
ACTBL2,1,0,0,1,0,0,0,0,1,1
ACTBP1,0,0,7,4,9,4,3,3,1,0
ACTBP12,1,2,4,10,0,2,2,3,2,2
ACTBP14,1,3,1,8,5,2,4,2,5,2
ACTC1,72,44,73,31,123,85,75,114,71,58
ACTE1P,6,1,6,6,6,3,1,2,5,3
ACTG1,30294,12670,47955,25469,78686,51010,56967,72394,39514,16651
ACTG1P12,15,3,17,26,24,9,10,8,20,23
ACTG1P14,12,4,6,20,17,4,6,9,5,8
ACTG1P15,5,3,5,8,15,10,11,4,14,14
ACTG1P16,3,0,4,4,9,0,2,2,1,2
ACTG1P17,23,15,57,32,54,41,42,31,45,78
ACTG1P19,2,0,2,3,6,1,0,0,1,0
ACTG1P21,0,0,2,7,4,0,0,0,0,1
ACTG1P23,0,0,4,7,10,0,2,0,0,1
ACTG1P24,2,0,4,3,7,1,3,4,0,2
