symbol,SL31505,SL31508,SL32268,SL6670,SL7380
AHSG,1,1,2,5,7
AHSP,0,0,2,0,0
AICDA,0,1,0,0,0
AIDA,450,565,380,884,1717
AIDAP2,361,157,147,487,235
AIF1,58,49,116,108,201
AIF1L,10285,2869,10307,6165,7242
AIFM1,543,502,534,783,1119
AIFM2,454,480,522,706,872
AIFM3,2111,2001,3490,4195,3675
AIG1,757,542,1052,989,1781
AIG1P1,0,0,0,0,0
AIM2,14,10,11,16,21
AIMP1,447,391,619,1108,1392
AIMP1P1,11,12,11,37,18
AIMP2,120,121,180,220,278
AIP,1597,1226,2359,2552,2565
AIPL1,7,6,2,10,5
AIRE,134,84,219,165,156
AIRN,13,0,20,11,29
AJAP1,2477,4118,2334,3674,9384
AJM1,3943,6453,7968,5082,5388
AJUBA,79,112,183,148,126
AK1,375,236,541,441,523
AK2,883,496,988,1093,1366
AK3,1374,1209,1596,2363,3845
AK3P3,34,33,51,76,60
AK3P4,0,0,0,0,0
AK4,1412,1868,1797,3478,6638
AK4P5,0,0,0,0,0
AK5,6805,9306,7950,7791,23589
AK6,712,736,1006,1643,1900
AK6P1,0,0,0,0,0
AK6P2,0,0,0,1,0
AK7,132,429,291,260,800
AK8,128,181,219,151,357
AK9,523,427,565,763,1037
AKAIN1,32,4,1,2,5
AKAP1,2499,2531,2834,5306,5781
AKAP10,811,827,774,1507,1984
AKAP11,6602,14545,5993,15243,33687
AKAP12,5418,5198,4764,16389,18616
AKAP13,1738,2311,1432,3379,5919
AKAP14,5,12,16,23,22
AKAP17A,1373,1314,2587,2154,1803
AKAP3,95,65,91,90,132
AKAP4,0,0,0,0,0
AKAP5,2190,4613,1883,4971,10672
AKAP6,4195,4417,3829,5778,10268
AKAP7,380,284,500,722,1060
AKAP8,706,692,833,1392,1073
AKAP8L,1859,2333,3400,5373,3621
AKAP8P1,0,0,0,0,0
AKAP9,8014,8092,8047,19188,21168
AKIP1,301,342,344,609,885
AKIRIN1,1845,1798,1675,3514,5984
AKIRIN1P1,0,0,0,1,2
AKIRIN2,1160,1216,1569,1939,3025
AKNA,1743,2896,2887,2773,3023
AKNAD1,9,8,20,20,14
AKR1A1,896,898,1155,1516,1765
AKR1B1,2954,3090,3393,6098,7839
AKR1B10,1,0,0,2,0
AKR1B10P2,0,0,1,0,0
AKR1B15,0,2,5,2,2
AKR1B1P1,2,2,1,4,8
AKR1C1,162,76,69,206,148
AKR1C2,95,34,71,93,96
AKR1C3,95,102,164,388,312
AKR1C4,0,2,0,0,1
AKR1C7P,0,1,0,1,0
AKR1D1,1,1,1,0,0
AKR1E2,29,43,35,74,69
AKR7A2,904,832,1674,1405,1822
AKR7A3,72,72,113,106,147
AKR7L,32,28,51,53,37
AKT1,3436,3699,4530,6278,5866
AKT1S1,1882,1391,2720,2477,2283
AKT2,2809,2653,4477,5283,5088
AKT3,2190,2397,2172,3518,5245
AKTIP,1578,1238,1722,2513,3727
ALAD,4387,3161,7195,5865,7517
ALAS1,854,873,840,1354,2002
ALAS2,97,0,51,3,11
ALB,28,44,61,86,69
ALCAM,3875,4889,3263,6987,14664
ALDH16A1,325,232,673,357,465
ALDH18A1,777,798,759,1114,1935
ALDH1A1,508,249,695,1550,432
ALDH1A2,49,54,121,68,108
ALDH1A3,63,103,138,76,262
ALDH1B1,264,87,230,319,261
ALDH1L1,2103,1738,3931,4182,3884
ALDH1L1-AS1,7,7,11,12,5
ALDH1L1-AS2,83,107,140,167,221
ALDH1L2,182,130,224,145,400
ALDH2,4903,5613,9885,10174,12858
ALDH3A1,7,91,165,34,72
ALDH3A2,1949,2068,1840,3338,4244
ALDH3B1,210,167,354,365,348
ALDH3B2,2,0,1,0,0
ALDH4A1,2754,1411,2744,3481,3168
ALDH5A1,3082,3654,2760,4130,9002
ALDH6A1,3662,3462,5992,6757,11714
ALDH7A1,2902,2589,4238,6331,7518
ALDH7A1P1,5,3,7,37,16
ALDH7A1P2,0,1,0,0,1
ALDH8A1,109,68,74,183,71
ALDH9A1,1530,1463,1975,3350,5522
ALDOA,42920,36191,57389,62968,69242
ALDOB,31,48,37,52,59
ALDOC,15065,8473,17013,19012,25950
ALG1,228,211,285,433,549
ALG10,12,13,20,17,64
ALG10B,18,36,28,34,124
ALG11,88,98,102,282,428
ALG12,361,277,407,577,816
ALG13,470,452,519,846,1165
ALG14,306,325,320,642,724
ALG14-AS1,2,2,4,5,5
ALG1L,11,1,13,25,15
ALG1L10P,10,30,34,36,35
ALG1L11P,7,26,21,38,32
ALG1L13P,7,22,13,20,23
ALG1L2,38,51,32,76,95
ALG1L9P,163,164,153,341,298
ALG2,393,340,351,731,990
ALG3,551,342,426,670,679
ALG3P1,2,1,3,2,0
ALG5,126,114,222,218,322
ALG6,143,116,132,199,253
ALG8,507,421,446,818,1052
ALG9,308,492,313,679,1217
ALK,444,327,215,315,972
ALKAL1,4,0,3,3,3
ALKAL2,63,269,109,268,655
ALKBH1,143,165,178,305,409
ALKBH2,164,99,227,203,277
ALKBH3,268,207,266,374,460
ALKBH3-AS1,19,14,10,26,41
ALKBH4,366,342,684,660,664
ALKBH5,3058,2760,2527,3763,6762
ALKBH6,98,95,119,192,175
ALKBH7,613,545,1067,875,936
ALKBH8,270,266,214,499,811
ALLC,8,9,29,11,9
ALMS1,863,1100,911,1164,2437
ALMS1-IT1,13,15,40,24,35
ALMS1P1,21,25,27,35,58
ALOX12,107,119,155,339,140
ALOX12-AS1,104,84,161,270,214
ALOX12B,50,63,55,78,90
ALOX12P2,112,119,176,264,203
ALOX15,31,48,36,81,56
ALOX15B,17,8,32,10,8
ALOX15P2,2,5,6,5,5
ALOX5,118,107,210,182,212
ALOX5AP,18,21,41,39,79
ALOXE3,91,45,45,85,130
ALPG,0,0,0,0,1
ALPI,0,0,0,0,0
